date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,-3,-6,-1,,,48,11.6,29.6,1022.4,
2019-01-02,-0.9,-3,1,,,1,7.2,22.2,1013,
2019-01-03,2.9,1,7,,,113,7.6,25.9,1009.5,
2019-01-04,2.8,-1,6,,,245,23.4,51.8,1013.1,
2019-01-05,-1,-3,0,,,5,12.3,31.5,1014.5,
2019-01-06,-3.1,-6,-1,,,349,11.7,33.3,1004,
2019-01-07,-5.2,-8,-2.5,,,327,6.8,20.4,1013.2,
2019-01-08,-4.2,-6.2,-1.7,,,5,11.5,31.5,1011.3,
2019-01-09,-9.2,-15,-3.2,,,22,4.7,18.5,1016.6,
2019-01-10,-9.4,-17,-3,,,0,5.7,24.1,1022.5,
2019-01-11,-1.5,-9,6,,,75,5.5,22.2,1020.2,
2019-01-12,1.8,0.5,4,,,8,5.6,16.7,1013.2,
2019-01-13,0.8,0,2,,,348,5.3,13,1007.5,
2019-01-14,2.1,0.5,4,,,213,8.4,27.8,1003.9,
2019-01-15,2.5,0,5.2,,,37,13.3,38.9,998.8,
2019-01-16,-1.8,-5,0.6,,,317,18.1,37,1006.5,
2019-01-17,-2.4,-5.2,1,,,237,10.8,25.9,1019.2,
2019-01-18,-1.8,-4,1,,,18,7.4,13,1024,
2019-01-19,-0.2,-2,2.1,,,22,6,11.1,1023.6,
2019-01-20,-0.4,-3,5,,,9,7,16.7,1023.2,
2019-01-21,-0.5,-3,1.2,,,343,4.7,14.8,1020,
2019-01-22,0.3,-1.2,2,,,359,5.5,14.8,1019.3,
2019-01-23,2.7,-0.2,8,,,25,7.2,18.5,1015.8,
2019-01-24,3.7,0.7,7.1,,,47,12.3,29.6,1008.5,
2019-01-25,5.9,4,8,,,166,9.8,20.4,1010.5,
2019-01-26,6,4,8,,,173,16.1,33.3,1006.9,
2019-01-27,3.4,1,6,,,232,6.3,20.4,1007.1,
2019-01-28,1.9,-1,8,,,216,5.1,18.5,1012.3,
2019-01-29,4,-1,10,,,18,6.1,18.5,1015.9,
2019-01-30,5.2,1.2,10,,,70,9.1,25.9,1011.8,
2019-01-31,5.8,2,9,,,158,11.6,25.9,1010.5,
2019-02-01,3.7,2,6.2,,,221,21.9,42.6,1013.9,
2019-02-02,1.9,-4,8.5,,,248,6.4,22.2,1022.2,
2019-02-03,2.6,-4,12,,,4,3.9,13,1024.1,
2019-02-04,3.6,-3,14,,,12,5.6,24.1,1024.5,
2019-02-05,4,-3,14,,,26,7.2,25.9,1023.2,
2019-02-06,3.5,0,8,,,22,9.6,25.9,1018.9,
2019-02-07,4.4,2,6,,,26,15.6,29.6,1013.2,
2019-02-08,4.9,3,7.1,,,21,10.6,24.1,1013.3,
2019-02-09,4.2,2,6,,,16,9.7,24.1,1015,
2019-02-10,4.1,3,6,,,38,11.1,18.5,1018.2,
2019-02-11,3.6,0,9,,,213,7.3,22.2,1019.3,
2019-02-12,3.5,-3,12,,,87,7.8,25.9,1016.4,
2019-02-13,4.7,-0.5,10,,,38,9.1,27.8,1018.3,
2019-02-14,4.3,2,6,,,37,19.1,37,1015.4,
2019-02-15,2.3,0,6,,,35,23.3,38.9,1015.8,
2019-02-16,3.2,1,7.5,,,32,13.6,31.5,1020.8,
2019-02-17,2.3,-5,9,,,1,5.5,18.5,1023.3,
2019-02-18,3.4,-5,13,,,329,8.6,25.9,1021.2,
2019-02-19,3.9,-2.4,10,,,40,5.8,20.4,1021.3,
2019-02-20,3.4,-5,12.1,,,300,5.3,24.1,1020,
2019-02-21,3.2,-5,11.2,,,322,6.6,24.1,1020.1,
2019-02-22,3,-4,11,,,320,8.5,27.8,1016.9,
2019-02-23,2.6,-1,5,,,49,7.8,20.4,1018.1,
2019-02-24,4,2,7,,,40,14.9,25.9,1023.1,
2019-02-25,2.3,0,6,,,28,16.2,31.5,1025.1,
2019-02-26,3,-1.7,12,,,352,7.7,22.2,1013.3,
2019-02-27,0.2,-3,3,,,358,11.4,27.8,1007.8,
2019-02-28,-1.5,-6,4,,,296,11.7,25.9,1010.3,
