date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,6.1,3.3,8,,,305,11.8,,1023.5,
2019-01-02,6.1,3,10,,,240,12.7,,1020.9,
2019-01-03,6.5,1,11,,,147,10,,1016.2,
2019-01-04,8.3,6,10,,,144,24.7,,1017.3,
2019-01-05,7.9,5,10,,,288,26.1,,1016,
2019-01-06,7.2,4,10,,,248,15.6,,1010,
2019-01-07,6.5,3.5,9,,,307,13.6,,1008.3,
2019-01-08,5.3,4,6.1,,,339,14.6,,1019.5,
2019-01-09,8.8,6,11,,,150,29,,1009.5,
2019-01-10,4.3,0,6,,,307,33.5,,1022,
2019-01-11,6,-1,10,,,168,25.1,,1022.3,
2019-01-12,7.4,4,10.2,,,194,29.9,,1013.4,
2019-01-13,5.2,0,9.3,,,212,18,,1008.3,
2019-01-14,6.2,5,7,,,312,18.1,,1008.7,
2019-01-15,9.4,6,14.3,,,183,21.3,,1008.5,
2019-01-16,12.1,8,19.2,,,182,30.9,,1004,
2019-01-17,4.6,1.6,8,,,325,55.9,,1009.9,
2019-01-18,3,1,5,,,311,41.5,,1020.6,
2019-01-19,3.1,0.5,6,,,299,11.8,,1021,
2019-01-20,2.2,-3,7.1,,,183,5.8,,1024.1,
2019-01-21,3.6,1,5,,,163,20.1,,1023.6,
2019-01-22,4.6,2,7,,,247,21.4,,1015.6,
2019-01-23,6.3,3.2,9,,,319,22.1,,1022,
2019-01-24,7.7,3,11,,,169,23.5,,1019.7,
2019-01-25,7.5,6.3,9,,,258,33.7,,1012.6,
2019-01-26,7.2,5.9,9,,,296,23.9,,1018.6,
2019-01-27,8.5,6.9,11,,,181,26.8,,1010.7,
2019-01-28,7.3,6.1,8,,,302,29.5,,1010.4,
2019-01-29,6.1,5,7,,,318,38.6,,1014.5,
2019-01-30,6.6,5,8,,,167,16.7,,1021.9,
2019-01-31,7.7,6,9,,,156,16.1,,1016.8,
2019-02-01,5.8,0,9.2,,,204,8.6,,1016.5,
2019-02-02,7.2,6.5,9,,,318,19.1,,1018.2,
2019-02-03,6.5,5.5,9,,,334,18.3,,1025.1,
2019-02-04,5,3,6,,,325,20.7,,1031.8,
2019-02-05,5.3,2.2,7.5,,,179,14,,1032.7,
2019-02-06,8.6,6.9,11,,,165,26.1,,1026.4,
2019-02-07,8.5,6,10,,,170,31.5,,1016.6,
2019-02-08,6.7,5,9,,,317,31.8,,1019.1,
2019-02-09,5.5,4,6,,,343,24.2,,1021.2,
2019-02-10,4.4,1.9,6,,,303,10.2,,1021.2,
2019-02-11,3.9,0,6,,,319,11.6,,1022.7,
2019-02-12,3.7,-0.2,6.1,,,184,8.6,,1023.6,
2019-02-13,6.4,4,10,,,323,12.8,,1023.9,
2019-02-14,7.1,4.8,9,,,128,9.1,,1022.9,
2019-02-15,6.9,5.3,9,,,345,10.7,,1020.2,
2019-02-16,5.1,4.2,6,,,333,14.6,,1017,
2019-02-17,4.6,3,6,,,290,13.4,,1016.7,
2019-02-18,7,3,12,,,147,17,,1009.3,
2019-02-19,2.9,1,4,,,331,34.1,,1017.6,
2019-02-20,4.3,0.9,7,,,237,22.5,,1027,
2019-02-21,7.2,5,10,,,182,28.8,,1018.8,
2019-02-22,6.2,1.6,9,,,305,20.3,,1017,
2019-02-23,6.4,4,8.4,,,292,7.5,,1022.3,
2019-02-24,7.3,6,10,,,339,15.5,,1024.9,
2019-02-25,5.3,4,7,,,334,13.2,,1025,
2019-02-26,6.8,4.4,11,,,188,18,,1012.6,
2019-02-27,5.7,4,7,,,329,16.9,,1004.9,
2019-02-28,6.3,5,8,,,326,18.8,,1004.5,
2019-03-01,6.8,4.6,12,,,256,20.3,,1000.7,
2019-03-02,5.1,-1,9,,,316,10.6,,1004.8,
2019-03-03,5.7,5,7,,,325,28.6,,1012.7,
2019-03-04,6.2,3,8,,,139,13.6,,1019.6,
2019-03-05,6.1,1.3,10,,,303,9.2,,1018.1,
2019-03-06,8.6,2,11.4,,,166,23.9,,1015.5,
2019-03-07,7.8,5.7,9,,,310,31.7,,1016.1,
2019-03-08,7.3,6,9,,,321,39.4,,1027.7,
2019-03-09,8.6,3.6,13,,,172,16.8,,1028.8,
2019-03-10,10,8,13,,,166,30.2,,1018.2,
2019-03-11,9.3,5,12.3,,,283,27.3,,1012.2,
2019-03-12,9.9,3.7,16,,,166,14.3,,1015,
2019-03-13,12.1,8,18.8,,,216,22.9,,1008.7,
2019-03-14,8.1,6,10,,,324,37.5,,1015.9,
2019-03-15,8.3,5.4,11,,,347,20.3,,1013.4,
2019-03-16,8.3,5,11,,,298,14.4,,1007.7,
2019-03-17,7.9,3,12,,,335,22.1,,1007.2,
2019-03-18,7.9,7,9,,,323,55.7,,1014.9,
2019-03-19,7.3,6,8.2,,,324,40.7,,1022.6,
2019-03-20,5.2,4.3,6,,,312,24.7,,1022.9,
2019-03-21,7.4,5,11.1,,,293,11.8,,1022.2,
2019-03-22,8.8,4.9,13,,,265,12,,1020.9,
2019-03-23,9.5,6.8,13,,,184,26.6,,1016.8,
2019-03-24,8.7,6.5,10,,,306,27.8,,1012.9,
2019-03-25,6.5,4,8,,,339,32.4,,1016.8,
2019-03-26,6.8,3.9,10,,,318,9.9,,1018.7,
2019-03-27,8,5.4,11,,,220,12.5,,1014,
2019-03-28,8.5,1,14.2,,,329,7.1,,1017.5,
2019-03-29,7.3,6.7,9,,,334,20.3,,1021.9,
2019-03-30,6.5,5.5,7.1,,,341,24.4,,1021.2,
2019-03-31,7.3,2,10,,,135,13.8,,1025.8,
2019-04-01,8.4,6,11,,,150,14.5,,1014.1,
2019-04-02,10,7.4,14,,,217,12.9,,1006,
2019-04-03,8.6,6,10,,,96,9.7,,1016.2,
2019-04-04,9.7,2.8,15.1,,,134,12.7,,1019.5,
2019-04-05,10.2,5,17,,,329,10.2,,1019.6,
2019-04-06,10.3,8,13,,,323,19.1,,1017.8,
2019-04-07,10.4,8,15,,,311,23.3,,1015.1,
2019-04-08,10.4,7.6,16,,,325,13.9,,1013.8,
2019-04-09,11.7,8,15.1,,,162,13.5,,1012.1,
2019-04-10,12.8,11.5,15.3,,,160,21.6,,1011.9,
2019-04-11,12.6,10.6,15,,,238,17.7,,1011.5,
2019-04-12,12.4,8.2,18.1,,,340,7.9,,1013,
