date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,8.4,7.6,9.6,0.3,,313,9.9,,1035.2,
2019-01-02,6.3,5.4,8.7,0,,17,13.8,,1040,
2019-01-03,5.4,4.1,6.6,0,,39,11.1,,1041,
2019-01-04,4.7,3.1,6,0,,25,10.6,,1040.6,
2019-01-05,5.1,4.2,5.9,0,,350,14.1,,1038.3,
2019-01-06,5.7,4.3,6.8,0,,316,8.1,,1037.2,
2019-01-07,7.3,6,8.6,0,,306,9.2,,1035.6,
2019-01-08,8.4,6.9,9.7,0.5,,318,15.4,,1027.1,
2019-01-09,5.2,3.8,7.7,0,,347,18.3,,1025,
2019-01-10,3.9,2.1,5.5,0.8,,8,12.9,,1028.2,
2019-01-11,6.2,4.2,8.3,0,,322,8.2,,1029.1,
2019-01-12,8,6.7,9.2,1.3,,280,11.8,,1026.7,
2019-01-13,10.4,8.8,11.9,0.8,,292,16.2,,1017.4,
2019-01-14,8.8,6.9,10.9,0.8,,323,14.6,,1019.9,
2019-01-15,7.6,7.1,8.6,0,,264,9,,1023.8,
2019-01-16,5.2,1.9,7.8,0,,214,11.6,,1013.4,
2019-01-17,5.4,2.9,8.5,3,,288,14,,1011.6,
2019-01-18,2.4,0.7,6.1,0,,189,8.2,,1019.5,
2019-01-19,0.6,-1.7,2.8,0,,153,10.5,,1012.6,
2019-01-20,2.6,1.4,3,4.1,,56,10.3,,1014.5,
2019-01-21,0.1,-2.2,3.6,0.8,,28,7.5,,1022.6,
2019-01-22,-0.1,-2.4,1.7,0,30,198,12.7,,1008.6,
2019-01-23,1.3,0.1,2.1,7.4,10,322,14.1,,999,
2019-01-24,1.2,-0.4,2.5,1,10,268,9.2,,1012.6,
2019-01-25,3.9,1.7,6.8,1,,213,6.8,,1016.8,
2019-01-26,8.3,5.5,9.6,1.3,,243,12.6,,1011.2,
2019-01-27,6.4,3.9,8.2,1.5,,267,17.7,,995,
2019-01-28,4.4,2.6,6.9,4.3,,303,14.7,,1005.5,
2019-01-29,1.7,-0.8,5.2,0,,171,11.3,,1003.1,
2019-01-30,2.3,0.5,5.2,19.6,10,283,12.3,,995.9,
2019-01-31,1.3,-1,4.1,0.5,10,177,11.7,,992.9,
2019-02-01,5.4,2.2,7.7,1.3,,167,8,,986.9,
2019-02-02,4.4,3.5,6.8,16,,344,17.6,,1000.6,
2019-02-03,3.8,1.4,6.6,0,,342,14.4,,1022.8,
2019-02-04,2.1,-0.8,4.4,0,,197,10.8,,1027.5,
2019-02-05,4.7,3.1,8.8,0,,199,7.9,,1027.8,
2019-02-06,7.3,3,10.1,0,,197,10.9,,1023.3,
2019-02-07,8.8,6.8,11.6,4.1,,240,15.5,,1015.2,
2019-02-08,8.8,6.6,10,0.8,,210,18.9,,1012.7,
2019-02-09,9.7,7.7,12.3,1.8,,234,18.4,,1010.5,
2019-02-10,8.3,5.7,10.9,3.6,,252,23.2,,1002.6,
2019-02-11,6.3,3.9,9.7,8.4,,307,12.2,,1023.7,
2019-02-12,4.9,1.6,8.8,0.3,,229,5.5,,1036.3,
2019-02-13,3.9,-0.1,8.6,0,,140,5.7,,1036.4,
2019-02-14,6.7,1.3,13.4,0,,137,6,,1033.4,
2019-02-15,8.3,2.8,15.2,0,,157,6.9,,1029.3,
2019-02-16,8.4,2,16.2,0,,189,6.6,,1026.4,
2019-02-17,9.8,3.7,17.4,0,,192,10,,1021.1,
2019-02-18,9.6,3.8,15.2,0,,213,9.7,,1018.4,
2019-02-19,8.2,5.9,12.5,0,,263,8.1,,1022,
2019-02-20,7.7,2.3,13.5,0,,193,5.4,,1024.1,
2019-02-21,9.6,4.1,16.4,0,,187,5.1,,1028.6,
2019-02-22,10.9,5.2,18.1,0,,72,5.3,,1034.4,
