date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,9.1,2,14,,,358,13.8,27.8,1024,
2019-01-02,6.3,0,14,,,38,16.9,57.4,1016.5,
2019-01-03,4.5,0.1,8.3,,,356,20.8,48.2,1023.5,
2019-01-04,2.5,-0.2,7,,,1,16.7,38.9,1027.3,
2019-01-05,3.9,-3,10.1,,,16,6.6,24.1,1023.2,
2019-01-06,6.1,0,14,,,14,8.6,22.2,1020,
2019-01-07,5.5,0.6,13,,,62,7.8,18.5,1024.4,
2019-01-08,6.5,1,11.1,,,111,11.1,20.4,1018.6,
2019-01-09,8.8,6,12,,,31,12.1,35.2,1002.6,
2019-01-10,6.7,4,10,,,14,25.5,48.2,1006.4,
2019-01-11,5.4,1.6,11,,,32,15.4,35.2,1015.4,
2019-01-12,4.4,-0.1,11,,,8,11.5,27.8,1018.4,
2019-01-13,5.4,-1,13,,,69,8.9,18.5,1012.6,
2019-01-14,9.8,4.4,15.2,,,23,15.5,33.3,1004.4,
2019-01-15,8.2,2,14,,,26,10.9,25.9,1017.2,
2019-01-16,7.2,0.6,14,,,120,11.2,27.8,1023,
2019-01-17,9.6,4,14,,,126,17.2,35.2,1017.3,
2019-01-18,11.8,9.7,14,,,216,16.2,33.3,1013.3,
2019-01-19,8.1,4.9,11.8,,,110,11.3,22.2,1013.5,
2019-01-20,7.5,4,10,,,63,10.9,20.4,1012.4,
2019-01-21,8.4,7,10,,,50,14.9,27.8,1010.5,
2019-01-22,6.5,3,9,,,6,13.8,31.5,1003.9,
2019-01-23,6.5,3,9.8,,,119,14.8,35.2,996.3,
2019-01-24,7.1,4,9.5,,,39,19.7,46.3,990.2,
2019-01-25,7,5,10,,,11,31.4,57.4,997.6,
2019-01-26,6.7,4,11,,,13,22.7,42.6,1007.4,
2019-01-27,7.2,1,12,,,123,15,42.6,1006.1,
2019-01-28,9.8,4,13,,,249,19,38.9,997.1,
2019-01-29,5.1,1.9,10.4,,,33,9.9,24.1,1002.9,
2019-01-30,4.5,0,11,,,69,14.5,35.2,1000.1,
2019-01-31,7.2,0.4,11.1,,,112,15,33.3,1003.7,
2019-02-01,13.5,10,15,,,153,19.4,50,1002.7,
2019-02-02,12.5,10.5,14,,,178,18.2,46.3,999.2,
2019-02-03,10.2,7.8,13,,,150,13.6,33.3,1003.9,
2019-02-04,9.7,5,16,,,35,17.8,38.9,1015.3,
2019-02-05,10,6.3,16,,,12,15.1,33.3,1017,
2019-02-06,10.2,6.2,16,,,23,15,25.9,1016.6,
2019-02-07,8.6,2.6,15,,,27,7.8,18.5,1018.6,
2019-02-08,8.7,4,15,,,66,6.7,18.5,1018.2,
2019-02-09,9,3,14.1,,,113,7.8,20.4,1021.9,
2019-02-10,13.4,12,15,,,178,19.5,38.9,1019.7,
2019-02-11,11.9,5,14,,,294,21.9,50,1011.6,
2019-02-12,8.4,3.5,15,,,2,12.3,40.8,1022.7,
2019-02-13,7.9,2,14,,,19,15,31.5,1030.8,
2019-02-14,9.3,4,15,,,8,12.8,25.9,1031,
2019-02-15,10.5,3.4,19,,,46,12.7,27.8,1027.1,
2019-02-16,9,4.4,14.5,,,41,8.2,25.9,1029.4,
2019-02-17,7.5,1,14,,,65,7.1,24.1,1028.8,
2019-02-18,8.7,5,13,,,7,5.9,22.2,1026.1,
2019-02-19,9.5,4,13,,,52,5.5,18.5,1023.9,
2019-02-20,8.1,3,14,,,30,9.6,25.9,1024.4,
2019-02-21,8.2,1,13.6,,,355,9.1,27.8,1027.1,
2019-02-22,8.7,2,14.2,,,0,10.3,31.5,1023.4,
2019-02-23,8.6,5.6,12,,,14,24.1,51.8,1023.3,
2019-02-24,8,4,14,,,24,22.6,37,1026.8,
2019-02-25,9.7,5,15.4,,,29,21.9,38.9,1026.4,
2019-02-26,8.2,0,14,,,358,7.9,25.9,1026.3,
2019-02-27,12.6,2,22,,,38,13.6,37,1021.9,
2019-02-28,10.3,3,16,,,158,9.5,22.2,1022.4,
2019-03-01,11.9,7.9,15,,,164,10.7,27.8,1014.4,
2019-03-02,11.6,5,18,,,318,10.5,31.5,1014.4,
2019-03-03,10.7,5.9,17,,,4,8.2,27.8,1019,
2019-03-04,11.3,6.1,15,,,130,16,37,1017.2,
2019-03-05,12.9,7.8,15.3,,,169,11.5,24.1,1015.4,
2019-03-06,11.3,4.8,17,,,130,14.7,35.2,1018.9,
2019-03-07,15,10,19,,,150,20.3,44.5,1015.7,
2019-03-08,13.3,10,17.1,,,164,8.8,20.4,1019.9,
2019-03-09,12.2,7,16,,,173,8.7,24.1,1024.8,
2019-03-10,13.1,9.7,15,,,150,12.9,33.3,1023,
2019-03-11,13.2,7.8,15.9,,,133,14.6,40.8,1014.6,
2019-03-12,10.3,6,15.5,,,348,26.1,48.2,1019.8,
2019-03-13,8.8,1,15,,,143,15.8,35.2,1015.7,
2019-03-14,11.2,6,16.8,,,327,18.6,42.6,1012.5,
2019-03-15,10.5,2.5,16,,,267,9.9,24.1,1014.2,
2019-03-16,13.5,10,16.4,,,168,10,33.3,1018.9,
2019-03-17,12.4,8,16.6,,,132,9.7,25.9,1017.3,
2019-03-18,12.5,9,16,,,172,14.2,37,1014,
2019-03-19,10.7,6,14,,,75,10.8,27.8,1016.7,
2019-03-20,11.5,6,17,,,33,13.2,25.9,1021.6,
2019-03-21,13.7,8,22,,,26,14.4,25.9,1023.3,
2019-03-22,14.2,8,21.2,,,352,12.2,24.1,1024.3,
2019-03-23,12.8,7,20,,,55,8.2,20.4,1022,
2019-03-24,12.1,5,19.5,,,295,7,24.1,1021.2,
2019-03-25,12.2,5,17,,,140,9.8,25.9,1015.2,
2019-03-26,10.6,7.7,13,,,45,15,31.5,1011.2,
2019-03-27,12.2,8,17,,,20,15.5,29.6,1018.4,
2019-03-28,12.3,6.9,18,,,16,15,29.6,1021.5,
2019-03-29,12,6,18.6,,,348,13.5,29.6,1025.3,
2019-03-30,11,4,16,,,335,10.3,27.8,1023.5,
2019-03-31,10.9,3.6,17,,,341,6.6,25.9,1017.8,
2019-04-01,11.5,5,17.3,,,41,8.2,24.1,1014.5,
2019-04-02,12.7,7,18,,,222,8.7,22.2,1015.2,
2019-04-03,12.3,8,16.1,,,127,17.4,38.9,1011.4,
2019-04-04,13.3,9.6,16,,,144,30.1,50,1002.3,
2019-04-05,10.5,4.6,15,,,163,10.1,29.6,1004,
2019-04-06,10.7,4,16,,,302,8.5,25.9,1006.2,
2019-04-07,12,8.9,15,,,246,10.6,27.8,1006.9,
2019-04-08,11.2,5,15.1,,,317,16.3,38.9,1008.4,
2019-04-09,12.1,6,16.1,,,301,12.5,31.5,1008.6,
2019-04-10,11.9,8.8,16.2,,,126,8.6,25.9,1007.5,
2019-04-11,11.9,6.5,17.3,,,89,9.3,24.1,1007.9,
2019-04-12,12.2,7,17,,,11,8,22.2,1009.6,
2019-04-13,12.8,9.5,16,,,11,9.1,22.2,1011.2,
2019-04-14,12.4,9,17,,,108,12.4,35.2,1010.4,
2019-04-15,13.3,7,20,,,19,13.8,31.5,1013.4,
2019-04-16,13,7,17,,,34,10,27.8,1019,
2019-04-17,12.6,6,18,,,328,9.2,27.8,1019.8,
2019-04-18,14.2,7,20.1,,,20,8.1,24.1,1021.7,
2019-04-19,15.6,10,21,,,9,8,25.9,1025.8,
2019-04-20,14.8,8,21,,,39,7.9,24.1,1023.9,
2019-04-21,16.2,13,20.1,,,59,6.8,22.2,1017.6,
2019-04-22,16.3,13,21,,,80,14.8,37,1007.8,
2019-04-23,16.8,14,19,,,148,23.7,46.3,1005.7,
2019-04-24,17.4,12,22.6,,,138,10.5,31.5,1014.9,
2019-04-25,17.9,11.4,25,,,45,8,24.1,1017.1,
2019-04-26,16.3,13,20,,,164,9.1,24.1,1017.8,
2019-04-27,14.6,9,18.4,,,286,10.8,27.8,1018.1,
2019-04-28,14.2,9,18.1,,,151,13,35.2,1014.5,
2019-04-29,11.4,7.7,15.3,,,16,11.3,35.2,1011.8,
2019-04-30,11.8,5,17,,,308,11.4,33.3,1014,
2019-05-01,13.4,8,18,,,316,9,29.6,1014.4,
2019-05-02,14.1,7.9,19,,,257,9.4,25.9,1015.5,
2019-05-03,15.1,10,19,,,140,14.8,38.9,1012,
2019-05-04,14.3,11.8,18,,,89,11.8,22.2,1004.5,
2019-05-05,13.6,9,16,,,242,24,55.5,1001.4,
2019-05-06,11.1,6,16,,,343,13.1,44.5,1009.3,
2019-05-07,12.2,6,17.1,,,337,13,33.3,1019,
2019-05-08,13.2,7,18,,,136,12,33.3,1017.6,
2019-05-09,15.8,14,20,,,167,18.2,40.8,1008.4,
2019-05-10,15.3,10,20.2,,,301,8.9,25.9,1012.6,
2019-05-11,15.5,10,20,,,143,7.7,27.8,1015.8,
2019-05-12,16,12.9,19,,,349,11.9,27.8,1009,
2019-05-13,15.4,11.9,21,,,37,16.8,29.6,1009.8,
2019-05-14,15.3,11.1,20.2,,,24,18.6,31.5,1011.5,
2019-05-15,10.2,9,11.3,,,32,13.8,25.9,1010.3,
2019-05-16,13.5,8,19,,,344,14.8,33.3,1010.1,
2019-05-17,14.7,8,20,,,131,10.2,33.3,1009.1,
2019-05-18,16.9,15,19,,,164,18.1,42.6,1004.8,
2019-05-19,15.6,13,17.1,,,215,15.2,33.3,1005.9,
2019-05-20,15.4,12,18,,,189,14.4,33.3,1009.5,
2019-05-21,16.6,13,19.3,,,203,14.7,35.2,1013.7,
2019-05-22,16.6,13.9,20,,,194,11.7,31.5,1016.5,
2019-05-23,16.4,11.3,20,,,221,9.6,25.9,1016.7,
2019-05-24,16.7,11,20,,,251,8.8,25.9,1015.1,
2019-05-25,16.9,11.4,21,,,145,8,25.9,1014.6,
2019-05-26,16.1,14,18,,,77,9.8,22.2,1010.8,
2019-05-27,17,15,20,,,68,12.6,25.9,1005,
2019-05-28,17.5,13.8,20.3,,,274,14.7,35.2,1007.2,
2019-05-29,17.8,15.9,20,,,232,22.3,44.5,1011.3,
2019-05-30,16.1,12,20,,,62,7.9,25.9,1018.9,
2019-05-31,16.5,10.9,21.1,,,350,8.5,27.8,1021,
2019-06-01,18.2,10.3,25.2,,,5,11.2,29.6,1018.9,
2019-06-02,18.9,12,24,,,168,10.6,27.8,1016.6,
2019-06-03,19.4,14,23.1,,,296,10.6,29.6,1016.5,
2019-06-04,19.7,13.8,24,,,238,9,27.8,1014.8,
2019-06-05,20.2,14.9,24.3,,,161,9.4,25.9,1012.9,
2019-06-06,20.7,16,25,,,149,11.8,33.3,1015,
2019-06-07,23,15.9,29,,,135,11.9,35.2,1017.7,
2019-06-08,23.3,18,29,,,130,10.1,29.6,1020.1,
2019-06-09,23.7,16.8,30,,,134,9.1,29.6,1018.8,
2019-06-10,24.7,17,33,,,122,12.7,33.3,1012.3,
2019-06-11,22.4,16.9,26.2,,,168,10.1,31.5,1009.6,
2019-06-12,22.1,18,28.1,,,277,10.5,29.6,1010.5,
2019-06-13,22.6,16,28,,,312,8.2,25.9,1014.7,
2019-06-14,25.4,18,32.2,,,121,11.1,29.6,1015.6,
2019-06-15,23.7,20,26.3,,,279,8.6,29.6,1014.6,
2019-06-16,22.5,17.6,26,,,296,13.4,31.5,1014.3,
2019-06-17,22,16,26,,,301,9.6,29.6,1013.6,
2019-06-18,22.9,18,28.4,,,278,8.9,27.8,1014,
2019-06-19,22.9,18,27,,,283,8.9,29.6,1014,
2019-06-20,23.8,17,29.3,,,274,10.4,27.8,1014,
2019-06-21,23.9,16.5,29,,,128,8.3,27.8,1014.8,
2019-06-22,25.8,20,32,,,154,15.8,33.3,1013.3,
2019-06-23,23.7,18,27.7,,,296,12.1,33.3,1013.6,
2019-06-24,25.4,18.7,29.8,,,318,11,29.6,1015.7,
2019-06-25,26.5,21,31,,,280,11.8,29.6,1018.1,
2019-06-26,27.1,20.8,33,,,334,11.4,27.8,1019.2,
2019-06-27,27.8,20.8,36,,,359,13.3,31.5,1016.9,
2019-06-28,27.4,20.5,33,,,201,9.8,25.9,1013,
2019-06-29,28,22,36,,,355,14.4,29.6,1014.3,
2019-06-30,26.1,19.1,31,,,39,10.1,24.1,1017.6,
2019-07-01,25.7,19,31,,,321,10.2,27.8,1017.5,
2019-07-02,25.6,18.3,30.6,,,298,10.1,31.5,1014.2,
2019-07-03,25.8,18.9,30.3,,,293,9.8,29.6,1013.8,
2019-07-04,25.3,17,32,,,290,8.7,29.6,1015.5,
2019-07-05,25.6,19.6,30.3,,,296,10.4,31.5,1015.6,
2019-07-06,26,18.7,31,,,281,9.1,27.8,1014.1,
2019-07-07,26.9,22,30.7,,,148,12,33.3,1011.9,
2019-07-08,27.8,23.8,32,,,179,12.1,29.6,1011.9,
2019-07-09,28.3,25.7,33,,,153,14.1,31.5,1011.4,
2019-07-10,26.3,23,29,,,251,13.3,33.3,1007.7,
2019-07-11,24.2,18,29,,,349,13.1,27.8,1012,
2019-07-12,25.3,21,29,,,169,9.9,33.3,1011.6,
2019-07-13,25.5,21,29.3,,,135,11.4,33.3,1009,
2019-07-14,24.7,18,29,,,121,13.8,31.5,1009.2,
2019-07-15,24.5,22,28,,,76,10.4,27.8,1006.4,
2019-07-16,25.3,17.9,32,,,12,14.9,35.2,1008.3,
2019-07-17,24.5,19,29.4,,,41,11,29.6,1011.9,
2019-07-18,23.5,17.3,28.3,,,267,9,27.8,1012,
2019-07-19,24,18,28.6,,,262,9.1,27.8,1015.5,
2019-07-20,24.1,18,29,,,326,9.8,27.8,1018.2,
2019-07-21,24.3,17,29.3,,,318,11.5,29.6,1020,
2019-07-22,25.1,18,30.1,,,306,11.9,31.5,1019.5,
2019-07-23,27.3,21,34,,,297,9.1,25.9,1016.8,
2019-07-24,27.5,21.8,34,,,167,8.9,25.9,1015.3,
2019-07-25,27.6,21,33,,,288,8.2,25.9,1015.3,
2019-07-26,27.2,21,32,,,292,9.1,25.9,1012,
2019-07-27,27.3,24,30,,,144,19.8,42.6,1005,
2019-07-28,24.4,21,27,,,261,25.1,46.3,999.5,
2019-07-29,24.4,19,29,,,234,10.4,31.5,1006.7,
2019-07-30,25.2,20,29,,,333,13.8,35.2,1010.8,
2019-07-31,25.1,19,30,,,295,10.4,29.6,1013.4,
2019-08-01,25.1,20,31,,,151,8.7,27.8,1014.3,
2019-08-02,25.4,20.6,32,,,131,12.5,35.2,1011.8,
2019-08-03,25,19,30,,,335,13.2,35.2,1009.9,
2019-08-04,25,17.7,30,,,295,9.7,25.9,1013,
2019-08-05,24.9,18,30,,,280,9,27.8,1015.4,
2019-08-06,25.5,19,31,,,151,8.8,27.8,1015.7,
2019-08-07,26.5,19.9,32.1,,,133,13.4,35.2,1012.6,
2019-08-08,27.4,24.8,31,,,187,10.9,33.3,1010.7,
2019-08-09,26.5,21,30,,,313,9.4,31.5,1013,
2019-08-10,26.8,21,33,,,299,9.6,29.6,1015,
2019-08-11,27,20.4,33,,,313,9.8,27.8,1014.4,
2019-08-12,27.1,20,33,,,322,9.8,27.8,1011.8,
2019-08-13,27.6,22,33.2,,,296,13.1,27.8,1010,
2019-08-14,25.4,20,29,,,305,17.1,38.9,1011,
2019-08-15,24.5,19,29,,,319,14.5,37,1013.5,
2019-08-16,24.3,18,28.6,,,299,12.4,31.5,1013.9,
2019-08-17,24,18,28,,,272,9.5,29.6,1015.9,
